,sizeSeq1,repNo,angleSeq,mod,trialID,FrameStim,stimLength,n,ExpectedcorrectAnswer_mean,ExpectedcorrectAnswer_raw,ExpectedcorrectAnswer_std,FrameStim_mean,FrameStim_raw,Resp_mean,Resp_raw,Resp_std,absMod_mean,absMod_raw,acc_mean,acc_raw,acc_std,actualcorrectAnswer_mean,actualcorrectAnswer_raw,actualcorrectAnswer_std,angleS_mean,angleS_raw,repNo_mean,repNo_raw,sizeSeq`_mean,sizeSeq`_raw,soundTLoc_mean,soundTLoc_raw,soundTLoc_std,stGap_mean,stGap_raw,stGap_std,stimLength_mean,stimLength_raw,timeafter_mean,timeafter_raw,timeafter_std,timebefore_mean,timebefore_raw,timebefore_std,totalGapTime_mean,totalGapTime_raw,totalGapTime_std,trialDropID_mean,trialDropID_raw,trialDropID_std,trialID_mean,trialID_raw,order
42,1,1,80.0,1.0,43.0,51.0,2.0,1.0,0.0,0.0,0.0,51.0,51.0,-1.0,-1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,80.0,80.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.11750125885,1.117501258850098,0.0,0.83080470562,0.830804705619812,0.0,1.94830596447,1.94830596446991,0.0,2.0,2.0,0.0,43.0,43.0,42.0
43,1,1,0.0,-1.0,44.0,59.0,2.0,1.0,0.0,0.0,0.0,59.0,59.0,1.0,1.0,0.0,-1.0,-1.0,,,,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.984130501747,0.9841305017471313,0.0,0.963795125484,0.9637951254844666,0.0,1.94792556763,1.947925567626953,0.0,2.0,2.0,0.0,44.0,44.0,43.0
44,1,2,70.0,1.0,45.0,75.0,2.0,1.0,0.0,0.0,0.0,75.0,75.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,70.0,70.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.717139959335,0.7171399593353271,0.0,1.23100578785,1.231005787849426,0.0,1.94814574718,1.948145747184753,0.0,,,,45.0,45.0,44.0
45,1,1,40.0,-1.0,46.0,67.0,2.0,1.0,0.0,0.0,0.0,67.0,67.0,1.0,1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,40.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.850651502609,0.8506515026092529,0.0,1.09729242325,1.097292423248291,0.0,1.94794392586,1.947943925857544,0.0,,,,46.0,46.0,45.0
46,1,1,80.0,-1.0,47.0,67.0,2.0,1.0,0.0,0.0,0.0,67.0,67.0,1.0,1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,80.0,80.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.850640892982,0.8506408929824829,0.0,1.0977243185,1.097724318504333,0.0,1.94836521149,1.948365211486816,0.0,,,,47.0,47.0,46.0
47,1,2,10.0,1.0,48.0,67.0,2.0,1.0,0.0,0.0,0.0,67.0,67.0,-1.0,-1.0,0.0,1.0,1.0,,,,-1.0,-1.0,0.0,10.0,10.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.850582003593,0.8505820035934448,0.0,1.0974189043,1.097418904304504,0.0,1.9480009079,1.948000907897949,0.0,,,,48.0,48.0,47.0
48,1,1,70.0,-1.0,49.0,51.0,2.0,1.0,0.0,0.0,0.0,51.0,51.0,1.0,1.0,0.0,-1.0,-1.0,,,,-1.0,-1.0,0.0,70.0,70.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.11755537987,1.117555379867554,0.0,0.830843448639,0.830843448638916,0.0,1.94839882851,1.94839882850647,0.0,,,,49.0,49.0,48.0
49,1,2,50.0,-1.0,50.0,51.0,2.0,1.0,0.0,0.0,0.0,51.0,51.0,-1.0,-1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,50.0,50.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.11754763126,1.117547631263733,0.0,0.829976797104,0.8299767971038818,0.0,1.94752442837,1.947524428367615,0.0,,,,50.0,50.0,49.0
50,1,2,40.0,1.0,51.0,75.0,2.0,1.0,0.0,0.0,0.0,75.0,75.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,40.0,40.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.717254757881,0.7172547578811646,0.0,1.23004698753,1.230046987533569,0.0,1.94730174541,1.947301745414734,0.0,,,,51.0,51.0,50.0
51,1,1,50.0,1.0,52.0,59.0,2.0,1.0,0.0,0.0,0.0,59.0,59.0,1.0,1.0,0.0,1.0,1.0,,,,-1.0,-1.0,0.0,50.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.984164118767,0.9841641187667847,0.0,0.964332699776,0.9643326997756958,0.0,1.94849681854,1.94849681854248,0.0,,,,52.0,52.0,51.0
